depth (mm),Si,K,Ca,Ti,Fe,Co,Ni,Sr,P
126,734,5134,144333,3918,15383,188,348,290,0
126.5,739,5517,141792,3860,15215,334,427,331,0
127,755,5132,135764,3778,15141,397,334,470,25
127.5,770,5112,139943,3837,14812,247,389,389,0
128,805,5112,142854,3993,14223,251,397,480,0
128.5,808,5611,140836,3946,14380,260,295,194,0
129,717,5480,136643,4062,14404,297,383,309,0
129.5,622,4814,132460,3637,15310,295,340,298,47
130,653,4435,127958,3895,15543,284,416,632,0
130.5,772,4763,133271,3742,15101,187,316,469,0
131,818,4829,127547,3738,14159,328,400,473,0
131.5,683,4756,130779,3373,14441,208,376,369,12
132,604,4166,121130,3207,13468,144,441,288,0
132.5,669,4109,119364,3309,12862,295,328,342,0
133,671,4877,123943,3893,13541,204,386,498,23
133.5,819,5609,138059,4303,14693,234,313,372,0
134,809,5627,130847,4204,15186,305,378,244,0
134.5,684,4893,123502,3964,14108,185,421,473,31
135,823,5127,134681,4147,14469,256,266,271,0
135.5,725,4764,121634,4068,14322,292,339,476,0
136,670,4729,109420,3757,14090,291,360,434,10
136.5,622,4342,116804,3761,13538,297,346,482,9
137,771,4971,125778,3869,13578,230,319,327,0
137.5,727,5262,114414,4145,15017,241,330,218,0
138,840,5609,133161,4436,15911,330,328,312,0
138.5,875,5908,139810,4942,16228,277,347,476,0
139,826,6211,130600,4815,15735,351,358,248,0
139.5,823,6346,133298,4617,16729,302,426,261,0
140,807,5751,139667,4855,17066,269,388,346,0
140.5,696,6040,134323,4887,16929,283,404,284,0
141,736,5943,137799,4791,15984,228,397,490,49
141.5,827,5567,142060,4231,15357,249,353,448,0
142,771,5668,149750,4413,15808,292,379,394,0
142.5,808,5339,155033,4242,16928,252,417,474,0
143,803,5760,151540,4751,17570,337,394,306,0
143.5,749,5594,156927,4427,16168,249,411,346,0
144,768,5272,160009,4160,15614,321,313,477,0
144.5,743,5273,142424,5037,15310,322,396,447,0
145,830,5699,144124,4718,15784,334,304,488,0
145.5,874,5745,137254,4660,15974,308,392,240,0
146,725,5171,132327,4152,16703,287,322,570,0
146.5,657,4937,144158,3875,16255,174,343,357,0
147,633,4478,152147,3701,15848,274,407,418,0
147.5,701,4337,160816,3591,15341,263,415,293,0
148,697,4197,165814,3656,15541,282,398,473,16
148.5,615,4228,162733,3490,15012,247,377,626,0
149,589,4537,159432,3563,16013,248,362,121,0
149.5,595,4383,157334,3555,16196,390,393,353,0
150,662,4110,152680,3475,15353,261,362,338,0
150.5,653,4073,157185,3901,14523,175,425,519,0
151,622,3925,147146,3675,15976,278,303,303,0
151.5,621,4852,162993,3628,16684,295,280,237,0
152,688,4597,173865,3562,16444,261,404,263,0
152.5,713,4187,172680,3184,15602,279,340,398,23
153,666,4287,169498,3153,15473,271,393,385,0
153.5,656,4163,161749,3188,15551,198,422,298,0
154,642,3791,149044,3301,15501,184,368,532,0
154.5,657,3937,157156,3553,16179,324,285,419,0
155,587,4211,163011,3557,15194,232,391,352,0
155.5,715,4031,168487,3369,15701,426,342,275,12
156,611,4128,162600,3661,15173,241,345,370,0
156.5,572,4019,165636,3334,15643,220,343,334,17
157,643,4166,159672,3171,14942,238,383,539,0
157.5,644,4381,160571,3302,15575,227,334,368,12
158,624,3814,149997,3184,14814,264,343,346,17
158.5,576,4200,148106,3463,14635,256,392,487,0
159,568,4696,156941,3476,16113,273,460,225,0
159.5,540,4584,149597,3342,15345,173,410,270,0
160,565,4592,148781,3387,15165,311,349,279,0
160.5,545,3934,139939,2959,14938,196,372,324,21
161,547,3907,143104,3386,15487,206,432,487,0
161.5,527,4157,146074,3395,17341,125,386,444,24
162,542,4138,137310,3513,15496,309,429,508,0
162.5,453,3753,136519,3523,14571,272,356,262,37
163,529,3533,136047,3464,14812,210,362,309,0
163.5,513,3801,143070,4150,14406,227,399,323,0
164,561,3889,147019,3775,13664,269,321,200,0
164.5,540,3684,134021,3166,13487,340,435,332,0
165,476,3700,132263,2951,13511,270,397,376,28
165.5,479,3605,135615,2841,13557,254,393,486,0
166,530,3999,138093,3293,13595,239,273,221,0
166.5,584,4118,139717,3293,14608,232,378,333,44
167,498,3974,141271,3404,13849,303,304,236,0
167.5,494,3917,139079,3707,12867,251,361,260,17
168,439,3779,134165,3399,13141,193,384,279,0
168.5,501,3894,136211,3363,13913,293,363,348,6
169,567,3735,131646,3139,13819,284,368,248,0
169.5,402,3837,131073,3153,15064,223,374,413,0
170,477,3785,133887,3001,14142,183,367,340,0
170.5,578,4179,141289,3357,14562,189,332,309,0
171,565,3863,136142,3623,14333,205,415,272,0
171.5,484,3921,134248,3484,15326,207,412,351,27
172,425,4249,136532,3354,16314,221,349,373,0
172.5,489,3889,144516,3205,14410,224,444,250,0
173,618,4169,151469,3011,15370,156,337,371,0
173.5,583,4618,148611,3629,14389,281,358,304,0
174,542,3904,139279,3187,13363,271,407,311,0
174.5,584,3991,141385,3381,14008,257,421,452,116
175,497,4147,136956,3149,14348,187,359,124,0
175.5,536,4378,143673,3878,14397,177,382,372,0
176,612,4780,151301,3804,13599,168,245,436,0
176.5,593,4887,155146,3502,13939,271,419,236,0
177,565,4430,152755,3495,14671,292,337,467,0
177.5,495,3873,141628,3301,13857,258,444,493,0
178,392,3690,135798,3176,13103,184,410,447,18
178.5,397,4041,144641,3149,13544,298,312,381,8
179,417,3780,138167,3281,13502,173,399,438,37
179.5,454,3649,138598,3226,14549,267,365,297,14
180,483,4158,147290,2999,14577,256,343,421,32
180.5,458,4011,151750,3149,15957,251,408,482,13
181,432,3745,139440,3549,16251,297,358,322,6
181.5,520,4026,141813,3185,15212,163,366,428,0
182,457,4139,140797,3640,14865,245,336,335,68
182.5,478,4063,140391,3392,17049,166,402,392,33
183,440,3781,139428,3208,14755,349,338,354,36
