depth (mm),Si,K,Ca,Ti,Fe,Co,Ni,Sr,P
553.5,236,2358,56543,2158,40208,521,409,53,175
554,244,2444,92137,2141,53843,475,293,33,197
554.5,280,2531,81850,2235,46401,598,277,228,291
555,209,2402,49445,2118,45569,481,433,258,183
555.5,183,2256,54331,1938,51469,469,310,244,223
556,272,2964,64862,2433,60652,640,369,303,189
556.5,294,3533,57833,3044,54592,556,292,371,157
557,293,3067,51543,2550,47488,554,402,298,121
557.5,360,3072,61994,2728,48232,565,364,421,144
558,240,3049,35518,3016,41881,601,351,197,156
558.5,294,3378,32047,3095,52861,588,399,89,282
559,320,3395,29854,2897,41316,570,281,34,235
559.5,327,4113,34985,3293,57476,698,424,157,342
560,339,3829,37947,3374,42286,583,254,280,300
560.5,472,4245,42973,3224,38711,566,370,126,223
561,432,4456,61861,3625,60551,598,300,266,379
561.5,408,3625,66713,3141,63208,663,305,318,427
562,239,3301,61329,3040,55280,498,271,193,307
562.5,376,3420,57248,3105,59694,587,316,189,432
563,337,3379,62732,3078,61257,709,303,337,332
563.5,438,3906,60975,3459,52408,707,398,201,252
564,287,3597,51204,3157,66789,806,339,9,308
564.5,282,3117,55068,2729,79274,874,278,217,332
565,274,2880,71906,3022,72599,749,346,273,366
565.5,397,3276,83390,4196,61852,721,347,168,291
566,295,2566,102196,3030,82549,853,344,408,383
566.5,294,3074,105371,2772,74903,717,240,123,365
567,348,3522,104551,3156,57481,575,390,357,275
567.5,370,4035,60577,3298,48068,565,262,61,360
568,469,4424,50648,3778,62031,661,333,281,415
568.5,381,4082,57467,3861,73606,810,319,198,470
569,252,3069,80172,3467,73549,748,371,210,547
569.5,303,2739,112626,2824,77580,741,357,203,424
570,304,3308,86048,2759,79331,801,291,318,509
570.5,343,3326,76432,2892,96937,813,348,265,599
571,295,3596,78443,2800,71328,587,307,313,419
571.5,273,2966,93646,2121,113008,934,369,41,379
572,254,2525,99421,1883,115857,857,347,209,379
572.5,255,2969,107397,2258,80701,724,385,314,292
573,273,2629,98438,2189,71880,740,371,273,269
573.5,314,2766,73353,2386,63855,727,248,204,347
574,354,2980,61823,2403,46601,602,398,112,242
574.5,280,2959,50323,2490,37276,489,316,134,222
575,289,2743,52810,2344,63293,669,320,291,306
575.5,261,3366,50487,2624,64333,674,243,228,327
576,420,4828,59213,3524,51123,557,406,135,265
576.5,393,4338,82610,3568,57975,557,387,231,243
577,282,3254,90961,2644,74775,753,339,262,220
577.5,243,2655,80867,2273,77552,687,373,100,248
578,191,1990,87059,1632,64429,612,416,30,162
578.5,225,2258,82074,2060,55721,518,406,99,247
579,230,1818,61779,1822,49903,497,473,163,168
579.5,163,1801,43124,1670,51280,576,431,69,167
580,162,1530,38910,1674,69915,637,413,264,240
580.5,161,1280,35590,1392,40150,424,421,90,170
581,208,1421,35485,1684,22263,367,391,118,90
581.5,233,2163,37538,2201,24230,403,368,0,131
582,358,4209,39185,3221,24524,339,342,328,71
582.5,814,7213,49489,4919,26548,386,352,242,170
583,861,7645,56804,4984,24464,333,392,310,162
583.5,702,5576,44486,4023,22146,374,414,243,75
584,602,4962,27172,3745,23878,462,389,324,63
584.5,437,4290,29833,3589,32276,463,421,321,131
585,592,6055,41846,5031,39991,424,413,140,214
585.5,660,6196,39492,4296,39311,389,487,179,140
586,643,5757,39673,4212,45504,466,418,130,217
586.5,503,5194,44421,3897,38421,466,399,212,197
587,440,5052,45788,3359,41720,512,322,107,197
587.5,493,5255,43070,3445,34298,481,354,258,154
588,417,3992,51354,3009,32106,346,452,174,123
588.5,342,3842,56781,3140,35922,458,479,231,84
589,355,3743,53636,3221,48197,575,375,0,159
589.5,381,4125,49552,3411,46418,515,361,228,190
590,387,4557,39009,3813,52251,540,426,234,141
590.5,360,4514,32998,3368,59612,580,339,201,165
591,338,5541,31436,4138,52624,563,397,362,165
591.5,508,7239,32576,5418,43606,513,408,123,185
592,554,7534,33014,5420,42270,468,450,222,189
592.5,616,8127,37586,5647,48330,565,407,253,118
593,471,6190,42425,4146,49594,603,340,175,235
593.5,459,5374,60376,3861,39832,548,417,274,164
594,527,6338,78128,4512,40696,412,305,159,156
594.5,517,6115,56353,4395,40327,509,377,247,129
595,440,5550,47643,4499,49513,556,349,175,165
595.5,432,4863,49356,3670,37172,536,298,293,144
596,474,5432,55149,4435,36747,428,290,241,104
596.5,767,7315,52821,5328,39093,431,364,227,103
597,620,7276,55069,4903,47650,610,374,269,191
597.5,502,5522,46880,4259,49002,526,392,227,208
598,481,6354,36451,4587,45578,565,370,204,213
598.5,682,7895,36054,5650,45052,600,368,204,127
599,824,10267,41031,7305,60272,566,376,307,255
599.5,782,9176,36315,6528,56531,657,329,393,253
600,608,7627,35270,5987,57369,658,351,270,257
600.5,490,6160,35882,5279,56071,496,424,149,257
601,605,6788,37751,5470,61254,485,360,390,321
601.5,587,7537,34768,5837,56155,683,394,144,255
602,599,7696,37327,5593,52393,650,383,180,241
602.5,667,7472,41729,5465,52777,600,367,247,289
603,466,6917,43754,4895,58866,642,292,301,226
603.5,471,6561,43826,4691,58818,672,409,188,186
604,614,8649,44963,5898,67905,825,324,223,272
604.5,644,9214,41617,6020,74223,700,353,312,273
605,533,7482,51127,4985,64776,571,452,336,210
605.5,483,5201,62335,4417,89834,872,372,148,355
606,457,4705,58029,3860,89839,809,335,155,363
606.5,476,4808,60020,4092,72862,695,358,196,306
607,405,4518,56870,3679,54914,459,417,213,279
607.5,434,4880,52905,3480,59407,698,376,267,194
608,406,5242,56265,3942,59103,586,366,47,287
608.5,486,4838,59536,3718,51039,628,355,209,304
609,322,3957,55107,3034,43584,348,373,226,161
609.5,412,5242,53042,3612,39964,403,386,199,151
610,462,5741,59320,4245,39961,468,362,238,165
610.5,472,5037,62384,4056,55996,601,332,182,307
611,432,4392,67243,3587,44729,587,381,47,165
611.5,395,4052,72621,3497,43657,292,335,322,103
612,418,4969,76278,4011,48862,521,387,159,252
612.5,540,5946,80702,5194,63396,727,363,426,311
613,543,6435,83618,4996,55228,507,347,359,165
613.5,524,5907,85048,4527,55338,700,425,362,243
614,457,5502,76122,4447,58567,691,319,368,203
614.5,458,5197,76353,4133,53169,615,336,188,268
615,414,4774,77580,3490,50207,571,332,459,150
615.5,496,5368,72207,3877,51424,638,327,382,265
616,504,5805,71250,4275,54453,584,350,227,229
616.5,453,5517,66698,4093,48216,443,294,203,194
617,587,6751,67421,4803,49518,425,374,270,217
617.5,450,5150,69444,4047,48656,453,327,351,163
618,309,4275,76812,4004,43391,494,331,130,156
618.5,429,4920,88078,4376,39109,509,396,358,107
619,492,5381,84906,4975,43848,600,336,190,226
619.5,530,5306,98826,4331,43039,626,333,132,131
620,427,4283,96291,3602,37622,465,343,364,78
620.5,559,4334,115811,3745,32457,395,367,358,115
621,462,4384,126807,3756,29838,481,276,327,140
621.5,615,4478,151736,3509,30299,345,326,346,82
622,526,4675,149244,3754,28645,257,377,188,81
622.5,465,4250,144238,3837,25223,363,334,201,36
623,522,4693,160565,4897,23664,293,388,316,8
623.5,571,4799,154627,4290,23740,250,416,308,100
624,525,4275,151961,3637,26185,339,328,364,12
624.5,598,4641,145775,3633,27241,310,343,387,28
625,554,4197,156197,3650,26938,234,316,323,118
625.5,560,4301,163219,3710,24710,374,335,310,73
626,541,4706,168350,4304,25871,375,324,75,27
626.5,534,4932,165657,3950,25526,420,319,329,10
627,592,5017,165784,4779,26233,272,315,334,0
627.5,622,4986,165764,4239,27071,402,280,483,0
628,532,4911,152255,3873,25299,418,305,317,39
628.5,518,4808,164010,3795,26491,352,236,331,62
629,848,5572,175786,4114,26483,424,309,383,44
629.5,641,5270,156485,4048,23442,324,363,326,52
630,473,4148,137721,3508,25000,302,366,406,51
630.5,525,4394,135309,3915,25779,479,340,461,102
631,527,5071,148213,4194,28387,329,354,419,0
631.5,526,5434,160485,4926,32136,432,296,214,57
632,572,5973,167990,5111,31581,397,301,235,6
632.5,639,6322,164707,5119,30453,321,277,483,42
633,636,6303,158477,6162,33942,437,330,400,0
633.5,681,6954,159480,6041,30510,426,237,412,52
634,713,8670,151452,7095,30680,300,257,364,0
634.5,893,9959,147858,7834,34229,429,330,316,50
635,847,10430,150499,7983,32294,374,324,487,71
635.5,963,10240,153114,8510,33354,412,264,374,0
636,853,10409,151947,8194,33367,414,318,270,36
636.5,915,11383,153131,8910,35841,491,386,618,24
637,1034,11444,150055,9040,35011,417,373,507,0
637.5,976,11850,151033,9120,40250,475,286,452,143
638,1163,13622,152557,10131,38414,483,227,443,57
638.5,1242,13969,156845,10633,34763,504,231,527,20
639,1187,12957,148612,9839,32650,509,337,543,50
639.5,1059,13035,147086,9537,32282,365,363,623,38
640,1076,13068,156874,10259,35154,371,249,595,6
640.5,1286,14065,162666,10380,39436,452,315,667,0
641,1290,14257,165858,10124,46349,546,274,717,36
641.5,1108,13599,161292,10144,41372,418,333,641,57
642,1237,14041,159661,10419,45857,520,239,731,71
642.5,1262,14596,165961,10695,43118,591,306,481,43
643,1086,13512,157958,9452,38779,465,315,700,47
643.5,1097,13411,160114,10977,40181,589,391,506,51
644,1217,13945,157049,11199,38833,503,271,381,0
644.5,1228,13659,159507,10391,38414,437,282,444,0
645,1323,14001,155519,9864,36609,463,313,539,0
645.5,1216,14111,149284,10124,37928,405,266,589,102
646,1322,15233,150711,11027,39046,462,299,615,73
646.5,1276,14261,151251,11196,39628,518,274,459,66
647,1285,14358,149247,10805,40592,480,332,630,0
647.5,1494,15831,156177,12704,45318,450,262,612,22
648,1314,16305,152473,12354,47519,445,340,655,13
648.5,1458,16202,154618,12102,43030,499,293,517,36
649,1490,16709,157901,12628,40446,486,354,575,38
649.5,1654,16812,164207,14129,42744,423,358,607,78
650,1570,17571,157466,12722,41728,624,322,528,37
650.5,1667,17728,152251,12743,42396,428,344,482,75
651,1638,16760,143767,13190,38191,421,318,678,79
651.5,1653,16907,147371,12425,42347,445,280,592,10
652,1668,17376,149117,12798,41329,530,269,579,35
652.5,1435,16014,141535,13124,38660,492,330,532,34
653,1472,16285,141581,15372,38732,460,313,682,15
653.5,1541,16712,148572,15139,44402,548,295,586,71
654,1761,17020,147956,12753,41238,494,302,638,78
654.5,1641,16868,140332,13523,40352,500,322,552,8
655,1578,16897,141350,14081,41973,482,319,614,74
655.5,1756,17858,140023,13067,38979,484,334,544,0
656,1567,17088,137263,12601,37155,517,315,696,50
656.5,1708,18129,142657,12468,39227,449,346,716,23
657,1748,17820,147035,14366,38886,529,255,495,65
657.5,1917,19553,147812,16086,39785,409,357,777,0
658,1847,19288,147311,14162,38654,446,311,601,26
658.5,1946,18792,150697,15235,39264,411,296,607,54
659,1589,17967,144892,13768,38605,494,256,647,39
659.5,1821,18558,143863,13428,37311,519,310,665,9
660,1954,19481,146111,15582,40130,494,196,620,52
660.5,2235,20038,151492,14863,41157,544,296,778,68
661,1907,18379,144196,21618,37788,507,281,505,34
661.5,1862,19468,145482,14748,36850,517,312,670,20
662,1797,19094,140170,14711,37555,375,224,502,44
662.5,1673,18255,133957,14856,37942,423,218,604,0
663,1634,18820,126343,13724,38448,445,346,684,63
663.5,2062,19825,133798,15145,38860,488,290,620,71
664,2102,19797,144000,17599,39201,461,306,847,59
664.5,2422,22338,148256,16862,44078,411,295,591,142
665,2209,21206,139705,15025,41697,484,308,691,68
665.5,2413,22769,149863,16611,42057,394,318,727,91
666,2218,21681,153109,17398,41407,600,286,774,0
666.5,2048,20796,138751,15677,39664,466,316,770,10
667,2292,21312,140487,16750,40310,549,242,621,30
667.5,2253,22053,138769,15940,39036,513,269,729,27
668,1846,19967,126917,14933,38363,451,239,795,0
668.5,1851,20735,127226,15780,40738,438,253,669,36
669,1858,20885,121741,16154,38861,500,310,784,22
669.5,1737,20702,125027,15431,37818,546,213,1006,37
670,1672,19786,122852,15327,37091,456,359,796,66
670.5,1629,18802,125406,17133,39043,508,202,602,22
671,1622,17355,123933,14571,35666,447,347,874,63
671.5,1512,14996,138145,11941,32949,409,307,465,8
672,1246,11956,146108,9088,32760,445,302,553,31
672.5,1126,10903,158878,8444,29722,300,360,396,0
673,901,8404,151567,6521,27779,404,326,371,29
673.5,824,7234,156700,5752,26077,373,349,465,24
674,819,7242,166221,5831,26856,289,342,334,0
674.5,793,6769,160431,5905,27845,334,290,301,0
675,707,6990,159497,5494,29915,379,355,352,20
675.5,775,6613,163088,5420,30237,381,306,432,13
676,632,6331,154771,4907,30066,458,334,348,30
676.5,742,6878,169847,5249,31047,452,348,117,104
677,835,6973,169377,5157,33941,366,309,367,50
677.5,798,7126,168236,5255,32126,441,344,407,9
678,825,7187,174299,5231,34389,391,324,472,68
678.5,837,7189,172511,5530,30392,400,395,395,10
679,700,6541,163298,5019,31527,337,279,403,8
679.5,754,6438,163592,5601,31720,445,345,374,0
680,679,6212,155084,4931,30785,384,383,425,0
680.5,728,6397,164202,5349,28715,358,389,472,0
681,698,5953,146761,4631,25860,290,289,333,12
681.5,629,5993,148238,4914,26612,272,423,392,0
682,627,6430,162519,4837,29526,347,393,436,77
682.5,605,6265,151231,4775,29316,311,348,467,0
683,579,5586,148794,4418,27473,429,316,381,0
683.5,688,5983,156827,4527,27833,318,369,334,0
684,762,5678,151198,4547,31900,364,380,398,86
684.5,627,5189,150309,4203,28850,386,351,445,48
685,695,5197,148840,4410,28620,287,253,354,42
685.5,626,5058,145960,3982,26887,288,392,426,0
686,545,5076,150248,3973,29636,439,405,346,0
686.5,667,5003,156595,4176,25800,294,261,216,0
687,616,5180,152002,4268,26507,455,352,146,0
687.5,639,5212,148552,4332,26072,348,371,557,71
688,665,5316,160571,4609,27277,440,326,377,0
688.5,620,5084,154175,4680,25024,375,309,436,0
689,586,4726,149716,4458,24820,397,374,338,0
689.5,603,4531,139596,3781,22787,286,328,325,62
690,482,4507,131173,3497,24025,372,366,202,43
690.5,527,4808,148886,4270,25285,216,353,388,52
691,593,4639,141209,4088,24606,316,295,304,0
691.5,554,5066,138706,4195,25189,328,316,341,0
692,661,5212,152665,4240,26162,315,380,411,0
692.5,685,4757,143747,4564,28348,389,366,320,74
693,702,5520,153864,4381,32074,455,330,356,28
693.5,664,5598,160829,4406,31810,405,351,252,65
694,577,4701,138354,3734,27870,276,356,230,74
694.5,627,4641,135467,5294,29748,346,319,170,30
695,562,4904,148115,5688,28266,358,332,271,0
695.5,641,5783,154942,4485,27520,412,341,277,93
696,665,5699,162664,4622,26453,369,370,248,37
696.5,625,4566,144479,4406,25774,327,333,450,0
697,639,4591,134036,4284,25103,279,324,110,14
697.5,562,4737,157264,4346,30141,346,366,206,0
698,656,5096,162713,4078,29386,397,377,217,49
698.5,707,5239,168002,4693,32221,387,340,304,0
699,668,5120,164090,4698,29868,360,292,175,39
699.5,578,4826,154711,4960,26599,371,272,192,10
700,588,4349,145482,4201,30614,414,301,249,89
700.5,501,4479,140235,3609,29381,377,346,293,0
701,496,4479,141460,3843,25082,336,287,303,51
701.5,430,3947,124795,3807,25764,431,366,318,0
702,489,4086,134839,4035,28774,374,371,302,4
702.5,694,5013,164884,4310,32566,321,369,309,0
703,621,5075,161415,4644,29236,465,334,464,68
703.5,515,4388,142756,4150,29030,402,271,278,72
704,552,4789,152263,4440,29312,406,344,319,32
704.5,680,5103,166606,4759,30276,275,382,308,0
705,543,4840,169813,4163,28279,361,327,372,8
705.5,652,5039,159782,4325,28120,370,397,233,11
706,736,5472,171394,4748,29682,451,372,334,0
706.5,533,4791,151060,4069,26683,282,392,276,0
707,532,4553,140899,3939,26917,331,367,366,0
707.5,573,4524,140180,4071,28037,391,380,212,13
708,650,5154,164866,4511,28586,375,267,182,0
708.5,619,4756,150124,4673,26525,383,303,255,43
709,530,4309,134834,3986,27802,400,271,237,73
709.5,465,4440,130983,3864,27373,384,328,343,0
710,556,4625,140218,4102,28498,358,336,327,41
710.5,584,4875,148604,4333,31303,428,323,397,28
711,557,4558,146481,4291,29712,354,350,232,103
711.5,524,4608,148098,4248,29778,462,344,227,5
712,503,4698,137852,3981,30340,455,366,287,27
712.5,520,4447,136087,4024,29560,282,379,322,24
713,605,4794,145015,4371,29044,432,371,261,46
713.5,583,4985,155121,4717,29787,299,330,357,0
714,548,4754,158837,4441,32818,407,302,221,43
714.5,613,4748,155682,4669,36121,434,343,410,0
715,675,5115,156670,4134,31116,316,360,319,70
715.5,714,5357,169803,4013,31884,442,288,400,17
716,599,4957,167659,3927,34374,489,319,545,121
716.5,776,4926,169749,4042,33833,443,339,419,65
717,757,5714,170876,4453,33293,440,341,269,60
717.5,797,5317,179553,4517,36439,491,300,298,0
718,751,5279,179856,4056,32728,458,230,378,108
718.5,655,4777,168865,4226,33501,453,245,392,54
719,481,4414,142856,3839,33273,526,278,441,25
719.5,568,4790,142254,3999,34674,393,253,404,15
720,542,4994,139691,4437,32987,465,375,402,68
720.5,582,4953,154855,4137,35069,528,326,212,50
721,680,5056,158471,4597,34331,340,404,393,39
721.5,617,4611,161742,4176,33319,504,244,462,72
722,612,4790,162193,4601,31370,481,339,205,0
722.5,484,4115,141892,4662,28059,375,319,351,42
723,512,4027,149077,3934,27686,383,321,418,0
723.5,502,4142,148499,4657,31437,439,320,154,9
724,581,4946,162532,4394,31490,388,354,492,71
724.5,567,4496,157319,3961,35303,580,406,171,97
725,646,4729,171938,4239,33983,344,307,389,39
725.5,635,4967,160472,4111,29502,394,306,361,0
726,633,4803,152214,4155,33919,313,369,414,47
726.5,584,4833,151732,4235,32046,520,318,475,0
727,615,4802,148731,4120,32353,443,331,287,26
727.5,612,4897,157656,4017,32011,473,382,370,0
728,674,5259,169465,4119,32474,398,235,317,53
728.5,650,5217,167628,4371,34283,362,279,337,0
729,614,4718,158340,3989,34251,405,276,475,80
729.5,566,4574,163180,3945,30277,450,310,460,19
730,575,4856,161491,4065,29918,444,327,317,31
730.5,674,4777,165213,5079,30324,417,248,322,0
731,532,4448,149514,4124,28832,436,283,306,12
731.5,573,4556,163299,4284,27682,324,318,481,0
732,580,4345,152210,4358,27785,343,390,253,60
732.5,577,4921,164852,3869,30534,386,292,428,32
733,615,4511,160098,4078,26965,361,293,304,0
733.5,770,4944,170160,4242,32660,480,296,292,57
734,796,5114,181370,4109,28345,257,318,215,6
734.5,620,4045,151551,3619,26163,303,418,330,58
735,499,4184,148227,3542,28158,278,280,245,0
735.5,595,4326,146118,3804,30187,477,345,479,46
736,646,4256,151125,3867,28013,402,290,217,8
736.5,630,4481,153119,4438,27828,302,357,316,76
737,551,4643,140957,3899,29584,390,352,426,0
737.5,555,4598,148077,4067,29018,440,310,367,69
738,579,3998,145131,3470,25550,428,338,261,40
738.5,584,4564,155813,4037,26346,439,223,286,0
739,690,4475,161354,3817,26140,307,329,284,0
739.5,512,3627,149400,3954,31879,395,380,191,42
740,536,3617,137304,3511,28399,374,332,192,0
740.5,543,3997,145332,3422,28556,402,361,245,74
741,508,3870,148870,3640,30765,397,263,332,48
741.5,440,3992,146604,3718,28414,465,322,229,0
742,512,4105,150600,4015,30670,427,399,391,22
742.5,677,4197,157170,3998,31199,325,344,248,90
743,519,4253,143704,3937,27646,388,372,176,0
743.5,602,4537,164393,3970,28624,400,317,150,77
744,585,4552,163378,3749,28122,410,361,516,68
744.5,589,4068,145484,3999,28978,410,201,403,9
745,557,4482,149401,4092,30343,415,337,521,47
745.5,587,4324,165188,4090,24528,473,325,170,7
746,646,4405,156692,3891,27664,357,399,339,0
746.5,595,4003,141326,3383,24288,265,287,380,21
747,613,4423,151107,4027,22960,271,385,513,66
747.5,538,3942,145711,4336,21827,323,406,372,0
748,633,3956,149303,4133,23225,361,253,253,25
748.5,454,4446,143365,4450,23306,316,358,204,20
749,575,4769,147275,4489,22545,310,314,245,0
749.5,634,4652,153952,4510,21069,327,331,304,51
750,621,4680,161326,4350,21660,400,327,335,29
750.5,678,4466,165415,4713,23347,373,361,257,27
751,787,4970,170994,4405,23909,420,297,553,6
751.5,669,5069,164746,4191,23842,404,319,523,0
752,692,4890,174084,4483,27764,412,319,346,58
752.5,769,5186,179732,4338,27120,357,306,149,30
753,747,5321,179500,4727,26456,292,339,219,21
753.5,607,5293,167647,5045,27097,372,341,393,104
754,683,4914,171323,4510,29701,406,316,280,0
754.5,653,4826,167556,4788,26000,350,331,272,0
755,643,4689,172912,5069,25065,317,295,156,51
755.5,613,4773,170734,5329,24497,515,269,187,43
756,576,4710,167271,4153,28764,375,336,539,0
756.5,674,5151,167486,4526,25821,336,354,339,0
757,664,5494,161318,4752,25693,353,287,307,11
757.5,598,4845,155009,4321,25657,381,349,318,13
758,770,5131,161248,4294,26233,367,325,334,35
758.5,736,5404,155229,4455,25286,361,349,351,56
759,684,5315,144430,4427,25568,400,357,288,10
759.5,851,5280,150751,5032,25711,393,325,463,54
760,692,5191,152548,4597,26236,393,355,404,23
760.5,767,5283,167630,4626,26566,330,355,352,22
761,672,4946,154170,4169,26298,341,352,393,61
761.5,641,4851,146572,4464,26605,273,375,296,14
762,687,5414,155280,4626,26009,329,358,464,28
762.5,647,5179,159200,5435,25875,331,309,164,26
763,687,5770,157503,4840,27668,301,399,428,98
763.5,646,5211,151477,4214,26788,343,331,273,86
764,734,5322,158265,4335,30102,382,340,480,72
764.5,779,5731,157657,5289,28126,233,276,348,0
765,791,5795,164772,4906,26671,410,276,335,0
765.5,674,5605,159314,4649,28042,350,254,238,61
766,682,5397,154358,4506,29283,441,370,304,38
766.5,669,5128,152427,5000,29685,463,314,361,29
767,686,4960,152488,4421,31347,328,282,455,69
767.5,854,5527,162879,5509,29675,451,354,355,35
768,763,5363,159631,6325,29026,454,265,272,101
768.5,822,5467,166498,4842,31648,376,313,487,43
769,871,5527,170106,4822,30969,390,297,260,11
769.5,707,5437,165441,4754,29284,319,309,290,0
770,808,5315,166642,4419,28810,439,344,437,32
770.5,703,4698,151373,4138,26849,428,357,114,43
771,658,4893,151834,4283,28615,394,317,440,27
771.5,788,5019,160791,4266,27116,449,303,445,0
772,899,4920,170725,4714,23786,335,295,397,34
772.5,698,4679,162328,5257,23578,301,340,470,26
773,880,5159,171336,4205,24877,360,293,386,0
773.5,792,5534,170122,4040,25062,379,294,391,15
774,697,5098,166498,4097,26465,409,312,424,68
774.5,688,4763,160262,4567,32161,390,367,327,110
775,715,5503,162109,4496,32376,440,294,482,77
775.5,789,5481,168017,4454,31887,514,308,357,65
776,697,5369,178442,4517,38217,346,248,198,161
776.5,786,5457,173781,4541,39795,467,255,313,57
777,737,5535,181134,4796,42887,528,340,422,133
777.5,847,6080,189778,4748,43198,451,321,324,143
778,730,5491,191544,5425,40948,442,270,389,58
778.5,719,5143,175201,4390,44070,409,319,312,97
779,710,5447,178635,4029,41615,384,403,455,100
779.5,680,5358,165624,4240,39068,499,334,375,97
780,635,5332,163187,4699,37303,393,267,412,85
780.5,737,5302,178720,4867,37191,320,327,564,48
781,710,5492,178617,4991,38099,377,334,455,105
781.5,677,5284,173172,5198,40440,506,320,353,87
782,787,5854,176730,4764,41111,391,276,374,64
782.5,771,5350,171223,4690,38135,391,325,355,94
783,719,5133,170130,4439,45291,354,360,302,85
783.5,680,5875,173991,4269,41958,398,297,394,98
784,747,5809,170970,5037,38294,503,265,475,57
784.5,798,5692,180450,4874,34432,385,252,283,106
785,761,5597,176570,4670,41329,568,285,255,56
785.5,761,5650,177435,4781,44485,424,313,416,106
786,736,5480,170207,5284,37965,486,292,318,98
786.5,694,5411,171449,5766,39900,471,365,425,73
787,869,6293,190388,5657,40730,408,331,207,71
787.5,860,5998,184044,4758,37192,469,385,369,50
788,841,5789,183625,4873,37160,439,284,337,55
788.5,863,5924,193092,4617,36366,481,260,472,29
789,920,6271,187766,4712,39232,502,265,352,105
789.5,836,5611,178911,4238,38824,564,257,387,110
790,900,5091,169158,4321,41835,585,239,508,109
790.5,946,6358,180176,4450,35678,452,218,262,99
791,739,5499,173897,4997,30930,363,329,299,110
791.5,826,5253,169465,4481,32597,503,382,302,39
792,764,4998,159627,4653,29012,352,310,524,84
792.5,581,4199,144197,4977,31231,451,319,264,43
793,557,4381,147688,4395,30419,375,368,349,13
793.5,656,5331,158367,4661,28365,358,327,446,55
794,726,5460,172075,4268,28846,296,324,339,0
794.5,845,5940,180782,4659,30926,447,373,522,48
795,811,5406,175239,4612,34078,377,334,341,77
795.5,750,5686,174832,4815,37175,416,301,444,65
796,684,5725,172105,4661,37141,410,340,231,92
796.5,736,6188,170073,4804,36147,350,293,363,59
797,790,6072,172613,4740,36275,331,293,464,120
797.5,758,5726,167728,4876,37160,363,324,497,37
798,716,5415,168807,4720,32010,380,287,488,14
798.5,738,5250,172019,4712,35788,457,285,383,97
799,792,6110,173681,7579,35024,451,351,487,70
799.5,727,5856,174197,5369,34425,454,312,192,72
800,830,5840,172989,4881,32139,389,361,369,77
800.5,822,5875,168203,4339,33260,345,352,375,18
801,689,5230,156844,4449,32798,283,350,501,38
801.5,658,5200,160455,4810,34543,414,339,450,46
802,787,5436,170622,4714,36132,544,326,397,18
802.5,879,5784,181507,5314,36809,393,326,522,96
803,811,5309,170502,5126,29924,385,391,372,41
803.5,849,5702,168832,4798,28223,342,311,175,80
804,767,5876,179362,4765,28371,407,329,496,64
804.5,942,5587,175942,5312,27163,336,281,391,83
805,760,5507,174590,4805,28376,420,328,356,78
805.5,832,5515,175088,5081,30648,444,350,417,17
806,899,6226,177627,5324,28448,427,321,448,20
806.5,939,6576,187644,5107,27978,364,309,296,10
807,848,6034,185653,5279,26094,302,313,406,0
807.5,756,5784,182170,5291,26525,275,280,592,0
808,801,5350,182337,5861,27916,247,380,294,0
808.5,750,5358,173883,4543,27409,343,367,306,0
809,843,5593,175302,5985,30429,449,328,422,121
809.5,954,6105,181295,5551,27153,422,272,401,46
810,923,5949,177991,5217,27040,383,248,410,28
810.5,865,5730,170690,11008,26049,318,329,407,17
811,965,5896,172258,7150,24793,377,277,190,51
811.5,787,5455,164073,4909,25157,324,352,202,23
812,828,5471,175669,4529,26306,375,317,417,0
812.5,826,5484,181168,6628,27389,327,352,472,55
813,790,5408,176027,5376,28256,425,334,322,26
813.5,863,5815,185817,4601,29281,439,323,369,35
814,874,6088,186508,4792,30488,419,293,309,0
814.5,828,6072,190567,4910,28869,447,267,446,41
815,854,6124,187709,6481,31130,380,276,186,0
815.5,926,5741,183713,6013,30641,392,306,390,49
816,794,5616,179526,4838,29331,394,302,549,37
816.5,780,5437,178064,4889,28849,377,316,538,0
817,893,5947,185355,4593,26718,319,371,369,0
817.5,811,6247,182160,5430,27947,324,360,328,0
818,788,5873,188185,4852,26731,185,493,362,20
818.5,926,5635,192782,4716,28236,409,319,354,5
819,919,5829,188357,5441,24222,314,320,337,10
819.5,898,6330,192628,4901,23780,350,379,275,21
820,867,5888,196095,5083,25229,421,344,276,25
820.5,994,6276,199533,4961,25313,342,365,295,0
821,845,6190,193783,5722,24719,341,307,608,18
821.5,833,5583,192306,5012,23996,316,297,403,40
822,851,5555,194039,5298,23559,317,302,375,6
822.5,953,6169,195799,4744,24273,399,276,372,0
823,1014,6515,208336,5335,26590,361,271,411,0
823.5,1064,6660,208580,5060,27048,361,267,406,9
824,1076,6544,222566,5250,25579,336,320,301,23
824.5,913,5946,199266,5041,25147,248,391,415,30
825,959,5506,188295,5077,24881,440,269,326,12
825.5,932,6249,197111,5580,24596,284,325,466,0
826,974,6283,201483,5396,24137,357,239,412,0
826.5,918,6007,196303,5178,25968,335,397,450,0
827,903,5688,194192,5439,27870,350,276,386,0
827.5,883,5838,193765,5236,27467,326,372,628,0
828,809,5464,184877,5090,26647,375,352,333,30
828.5,888,5611,194709,4770,30027,266,344,420,0
829,922,6241,202259,5696,30759,371,295,266,0
829.5,956,6534,198260,5298,26393,426,284,505,0
830,864,6337,197616,5243,31237,364,327,381,6
830.5,882,5986,196820,5397,35706,409,405,376,13
